@relation GIGO

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute f65 numeric
@attribute f66 numeric
@attribute f67 numeric
@attribute f68 numeric
@attribute f69 numeric
@attribute f70 numeric
@attribute f71 numeric
@attribute f72 numeric
@attribute f73 numeric
@attribute f74 numeric
@attribute f75 numeric
@attribute f76 numeric
@attribute f77 numeric
@attribute f78 numeric
@attribute f79 numeric
@attribute f80 numeric
@attribute f81 numeric
@attribute f82 numeric
@attribute f83 numeric
@attribute f84 numeric
@attribute f85 numeric
@attribute f86 numeric
@attribute f87 numeric
@attribute f88 numeric
@attribute f89 numeric
@attribute f90 numeric
@attribute f91 numeric
@attribute f92 numeric
@attribute f93 numeric
@attribute f94 numeric
@attribute f95 numeric
@attribute f96 numeric
@attribute f97 numeric
@attribute f98 numeric
@attribute f99 numeric
@attribute f100 numeric
@attribute f101 numeric
@attribute f102 numeric
@attribute f103 numeric
@attribute f104 numeric
@attribute f105 numeric
@attribute f106 numeric
@attribute f107 numeric
@attribute f108 numeric
@attribute f109 numeric
@attribute f110 numeric
@attribute f111 numeric
@attribute f112 numeric
@attribute f113 numeric
@attribute f114 numeric
@attribute f115 numeric
@attribute f116 numeric
@attribute f117 numeric
@attribute f118 numeric
@attribute f119 numeric
@attribute f120 numeric
@attribute f121 numeric
@attribute f122 numeric
@attribute f123 numeric
@attribute f124 numeric
@attribute f125 numeric
@attribute f126 numeric
@attribute f127 numeric
@attribute f128 numeric
@attribute f129 numeric
@attribute f130 numeric
@attribute f131 numeric
@attribute f132 numeric
@attribute f133 numeric
@attribute f134 numeric
@attribute f135 numeric
@attribute f136 numeric
@attribute f137 numeric
@attribute f138 numeric
@attribute f139 numeric
@attribute f140 numeric
@attribute f141 numeric
@attribute f142 numeric
@attribute f143 numeric
@attribute f144 numeric
@attribute f145 numeric
@attribute f146 numeric
@attribute f147 numeric
@attribute f148 numeric
@attribute f149 numeric
@attribute f150 numeric
@attribute f151 numeric
@attribute f152 numeric
@attribute f153 numeric
@attribute f154 numeric
@attribute f155 numeric
@attribute f156 numeric
@attribute f157 numeric
@attribute f158 numeric
@attribute f159 numeric
@attribute f160 numeric
@attribute f161 numeric
@attribute f162 numeric
@attribute f163 numeric
@attribute f164 numeric
@attribute f165 numeric
@attribute f166 numeric
@attribute f167 numeric
@attribute f168 numeric
@attribute f169 numeric
@attribute f170 numeric
@attribute f171 numeric
@attribute f172 numeric
@attribute f173 numeric
@attribute f174 numeric
@attribute f175 numeric
@attribute f176 numeric
@attribute f177 numeric
@attribute f178 numeric
@attribute f179 numeric
@attribute f180 numeric
@attribute f181 numeric
@attribute f182 numeric
@attribute f183 numeric
@attribute f184 numeric
@attribute f185 numeric
@attribute f186 numeric
@attribute f187 numeric
@attribute f188 numeric
@attribute f189 numeric
@attribute f190 numeric
@attribute f191 numeric
@attribute f192 numeric
@attribute f193 numeric
@attribute f194 numeric
@attribute f195 numeric
@attribute f196 numeric
@attribute f197 numeric
@attribute f198 numeric
@attribute f199 numeric
@attribute f200 numeric
@attribute f201 numeric
@attribute f202 numeric
@attribute f203 numeric
@attribute f204 numeric
@attribute f205 numeric
@attribute f206 numeric
@attribute f207 numeric
@attribute f208 numeric
@attribute f209 numeric
@attribute f210 numeric
@attribute f211 numeric
@attribute f212 numeric
@attribute f213 numeric
@attribute f214 numeric
@attribute f215 numeric
@attribute f216 numeric
@attribute f217 numeric
@attribute f218 numeric
@attribute f219 numeric
@attribute f220 numeric
@attribute f221 numeric
@attribute f222 numeric
@attribute f223 numeric
@attribute f224 numeric
@attribute f225 numeric
@attribute f226 numeric
@attribute f227 numeric
@attribute f228 numeric
@attribute f229 numeric
@attribute f230 numeric
@attribute f231 numeric
@attribute f232 numeric
@attribute f233 numeric
@attribute f234 numeric
@attribute f235 numeric
@attribute f236 numeric
@attribute f237 numeric
@attribute f238 numeric
@attribute f239 numeric
@attribute f240 numeric
@attribute f241 numeric
@attribute f242 numeric
@attribute f243 numeric
@attribute f244 numeric
@attribute f245 numeric
@attribute f246 numeric
@attribute f247 numeric
@attribute f248 numeric
@attribute f249 numeric
@attribute f250 numeric
@attribute f251 numeric
@attribute f252 numeric
@attribute tag {bottle,can,glass,pak}

@data
0.49035,0.40145,0.36857,0.35575,0.31563,0.31529,0.35663,0.42528,0.42596,0.36851,0.4488,0.31526,0.31392,0.44792,0.42765,0.42231,0.40661,0.63237,0.36065,0.55756,0.5598,0.35993,0.70397,0.69478,0.6183,0.45351,0.55347,0.55544,0.45601,0.69118,0.68242,0.50913,0.59492,0.38262,0.54878,0.31926,0.3214,0.54699,0.44208,0.445,0.38178,0.64138,0.32019,0.31926,0.64072,0.44529,0.4456,0.58973,0.63798,0.54365,0.58221,0.57553,0.54406,0.69826,0.69844,0.63344,0.63862,0.57056,0.57036,0.63857,0.69794,0.69791,0.49228,0.33039,0.36507,0.25663,0.30617,0.30601,0.25573,0.4274,0.42589,0.36562,0.40968,0.30753,0.30809,0.40992,0.42655,0.42433,0.33687,0.62462,0.25696,0.55843,0.56248,0.2569,0.68842,0.6867,0.62089,0.41541,0.55606,0.5567,0.41822,0.68495,0.68546,0.50791,0.67425,0.38573,0.58466,0.31851,0.32117,0.58679,0.44707,0.44906,0.37458,0.76469,0.31704,0.30947,0.7572,0.44907,0.44141,0.67522,0.62542,0.59504,0.56868,0.56177,0.58608,0.68752,0.68779,0.6221,0.76008,0.56325,0.56305,0.76233,0.68625,0.68612,0.32225,0.63099,0.49035,0.94398,0.70348,1.3151,1.1494,1.7773,0.29172,0.44978,0.45642,0.68973,0.62699,0.99915,0.90923,1.3745,0.30528,0.51793,0.48695,0.84178,0.6746,1.2428,0.88769,1.7011,0.35191,0.7267,0.55266,1.1815,0.78685,1.6943,1.0372,2.2386,0.31191,0.54846,0.50566,0.92703,0.70259,1.3321,0.91031,1.7597,0.30039,0.49495,0.4831,0.81858,0.67616,1.1873,0.97696,1.6035,0,0,0,0.012088,0.018681,0.0076923,0.0054945,0.010989,0.0010989,0,0,0.15055,0.031868,0.047253,0,0.0021978,0.0065934,0.07033,0.015385,0.024176,0.15385,0,0,0.0043956,0.02967,0,0.0010989,0.0054945,0.0010989,0,0.0098901,0,0,0,0.067033,0.056044,0.01978,0.046154,0.0032967,0.040659,0.17692,0.032967,0,0,0.013187,0,0.035165,0.020879,0.0021978,0,0,0,0,0,0,0.026374,0.0054945,0.0032967,0.0043956,0,0,0,0,0,0,0,0,0,0,0,0,0.15275,0,0,0,0,0,0,0,0,bottle
0.51344,0.42907,0.34436,0.37709,0.26021,0.26674,0.38023,0.43316,0.42866,0.40186,0.46544,0.29941,0.31063,0.47287,0.4682,0.46403,0.43541,0.61782,0.39236,0.57433,0.57478,0.39288,0.65988,0.65395,0.60293,0.47107,0.55458,0.55798,0.46934,0.65027,0.64733,0.48558,0.57408,0.38566,0.5375,0.30926,0.31623,0.5352,0.43908,0.4304,0.35292,0.6312,0.27284,0.27337,0.62992,0.4229,0.42325,0.56849,0.58353,0.52612,0.5373,0.53414,0.52788,0.63468,0.63367,0.59616,0.6285,0.54122,0.54128,0.62755,0.65162,0.64903,0.51208,0.32502,0.38801,0.19848,0.3247,0.33243,0.20872,0.44779,0.44986,0.43181,0.41561,0.35742,0.35658,0.42896,0.47955,0.4766,0.33713,0.61651,0.24425,0.56354,0.55813,0.2167,0.68395,0.68303,0.59779,0.41686,0.55728,0.54823,0.42199,0.67233,0.67359,0.49021,0.64006,0.41549,0.58394,0.35229,0.36008,0.56752,0.45669,0.45765,0.40288,0.70136,0.35398,0.34635,0.69973,0.45028,0.44817,0.62651,0.57744,0.56306,0.52775,0.52545,0.56378,0.6605,0.66214,0.58924,0.68869,0.53198,0.52862,0.69956,0.67181,0.66735,0.42274,0.61233,0.56875,1.0673,0.64941,1.5308,0.89413,1.9503,0.40623,0.55892,0.54691,0.97958,0.60578,1.4029,0.77316,1.8535,0.43378,0.62936,0.5853,1.053,0.63926,1.4477,0.78918,1.9146,0.53288,0.96952,0.7539,1.6621,0.88745,2.273,1.1199,2.8775,0.52146,0.99231,0.7742,1.7923,0.93328,2.4676,1.188,3.1912,0.43955,0.67164,0.62229,1.2248,0.71671,1.7216,0.95163,2.216,0,0,0,0,0,0,0,0.0021186,0,0,0.0021186,0.0063559,0,0.0042373,0.0021186,0,0,0.0021186,0,0,0.0063559,0,0,0,0.0021186,0,0,0,0,0,0,0,0,0,0,0,0,0.0021186,0,0,0.0042373,0.0021186,0,0,0,0,0,0,0.0084746,0,0,0,0,0,0,0.0042373,0,0.0042373,0,0,0.0021186,0,0,0.0042373,0,0,0,0,0,0,0,0.0021186,0,0,0,0,0,0,0.0021186,0,bottle
0.47314,0.41401,0.34849,0.37381,0.29574,0.29712,0.37306,0.40579,0.40463,0.35478,0.45162,0.29898,0.30017,0.45926,0.41017,0.41468,0.42219,0.6129,0.37815,0.54254,0.54374,0.37948,0.68065,0.6806,0.60551,0.46662,0.53891,0.53956,0.46102,0.6757,0.67419,0.52911,0.58051,0.40792,0.53277,0.33763,0.3437,0.53333,0.46974,0.46757,0.39831,0.65018,0.32252,0.31973,0.63831,0.47114,0.4651,0.59702,0.63337,0.54238,0.57944,0.58251,0.54969,0.68806,0.69076,0.64457,0.64873,0.58895,0.58982,0.65014,0.69442,0.69566,0.47322,0.31275,0.37021,0.23662,0.32333,0.32395,0.2339,0.41653,0.41487,0.37501,0.39856,0.32631,0.32572,0.40111,0.42447,0.42612,0.34845,0.59538,0.26596,0.52288,0.52518,0.25299,0.69567,0.69458,0.58251,0.4233,0.5261,0.52382,0.42673,0.67178,0.6674,0.52588,0.66063,0.41882,0.58121,0.34841,0.34954,0.57837,0.48023,0.47962,0.40564,0.74559,0.34527,0.34406,0.74201,0.46783,0.46424,0.67147,0.63577,0.58659,0.57202,0.57659,0.5924,0.70021,0.70267,0.65021,0.74992,0.59095,0.5902,0.75109,0.70994,0.71208,0.55115,0.67312,0.79212,1.047,1.1202,1.5293,1.7159,2.2817,0.47918,0.49466,0.64961,0.75144,0.82402,1.0251,1.1539,1.4213,0.45603,0.47452,0.60553,0.71962,0.74399,1.0034,0.97686,1.3201,0.50078,0.66177,0.66719,1.0177,0.85724,1.4489,1.1616,1.8568,0.49111,0.5426,0.67913,0.85973,0.83892,1.1882,1.0891,1.5335,0.52351,0.5813,0.75317,0.94065,0.99949,1.313,1.4198,1.7606,0,0,0.01148,0.0012755,0.002551,0.0076531,0.002551,0.0012755,0.0063776,0,0,0.033163,0,0.024235,0,0.010204,0.0076531,0.010204,0.005102,0.005102,0.052296,0,0,0.019133,0.002551,0,0,0.0063776,0,0,0,0,0,0,0,0.005102,0.0012755,0.005102,0.005102,0.0038265,0.014031,0.0076531,0,0,0,0,0.0038265,0.010204,0,0,0,0,0,0,0,0.012755,0.0063776,0.0076531,0.010204,0,0,0,0,0,0,0,0,0,0,0,0,0.03699,0,0,0.0012755,0.002551,0,0,0,0,bottle
0.52851,0.42267,0.41523,0.37491,0.33964,0.33133,0.36372,0.47551,0.47585,0.39733,0.46807,0.32871,0.32681,0.46608,0.46436,0.46314,0.40243,0.64111,0.35167,0.58648,0.58633,0.35034,0.69392,0.69456,0.63633,0.45361,0.58162,0.57802,0.4509,0.69457,0.69587,0.47402,0.57952,0.35093,0.54035,0.29622,0.2947,0.53616,0.41185,0.40783,0.34053,0.62232,0.28926,0.28807,0.62031,0.40311,0.40347,0.5796,0.60893,0.53597,0.53708,0.54246,0.54015,0.68225,0.67923,0.61687,0.62351,0.54706,0.5483,0.62402,0.68388,0.68272,0.52412,0.3467,0.42877,0.25852,0.3593,0.34899,0.25759,0.48528,0.48274,0.40824,0.43178,0.32837,0.32443,0.42096,0.47333,0.47337,0.30595,0.62278,0.22898,0.57397,0.57389,0.22522,0.67224,0.66953,0.61506,0.39838,0.56758,0.56603,0.39784,0.66454,0.66757,0.47676,0.66822,0.36087,0.58731,0.29755,0.29737,0.58225,0.42147,0.41873,0.35444,0.74915,0.29286,0.29282,0.75267,0.41453,0.41626,0.66535,0.58768,0.57866,0.52507,0.52827,0.58471,0.65454,0.65466,0.59936,0.75218,0.54078,0.53708,0.74842,0.66223,0.6614,0.62236,0.73887,0.91872,1.1862,1.2198,1.5903,1.6755,2.0712,0.55299,0.5809,0.79045,0.93414,0.98215,1.2143,1.2689,1.5103,0.5237,0.58062,0.72831,0.94498,0.8576,1.1993,1.035,1.4386,0.56425,0.76089,0.77797,1.2361,0.9456,1.5293,1.2009,1.8554,0.54286,0.59232,0.76116,0.95136,0.88396,1.1727,1.0364,1.3503,0.57549,0.63124,0.82526,1.0242,0.98968,1.2559,1.2128,1.4269,0,0,0.0030075,0.0030075,0.0015038,0.0015038,0.0015038,0.0030075,0.010526,0,0,0.013534,0,0.022556,0,0.0075188,0,0.0030075,0.0075188,0.006015,0.0090226,0,0,0.010526,0.0015038,0,0,0,0.0030075,0,0,0,0,0.0015038,0,0.0015038,0.0030075,0.0075188,0,0.01203,0.010526,0.0075188,0,0,0,0,0,0.0045113,0,0,0,0,0,0,0,0.0090226,0,0.0030075,0.01203,0,0,0,0,0,0,0,0,0,0,0,0,0.010526,0,0,0,0,0,0,0,0,bottle
0.50887,0.41752,0.38973,0.37167,0.32746,0.31541,0.36539,0.45168,0.44976,0.37876,0.46215,0.30862,0.31222,0.46146,0.44372,0.43968,0.4065,0.6261,0.35925,0.56859,0.56854,0.35932,0.68335,0.68276,0.62744,0.4525,0.56779,0.56693,0.45379,0.68443,0.68553,0.4914,0.57972,0.36659,0.53611,0.31083,0.30072,0.53532,0.4285,0.42697,0.36316,0.62754,0.29713,0.29879,0.63003,0.42849,0.42919,0.58778,0.61737,0.54255,0.54835,0.5563,0.54374,0.68014,0.67896,0.62006,0.63518,0.55749,0.55799,0.63449,0.68055,0.68035,0.50664,0.33903,0.40114,0.25202,0.3443,0.32924,0.24847,0.45597,0.46213,0.39022,0.42144,0.32246,0.31999,0.41688,0.45417,0.4526,0.32493,0.6105,0.24191,0.558,0.54954,0.23401,0.6714,0.67331,0.61086,0.40998,0.55275,0.55314,0.41447,0.67592,0.67662,0.49333,0.66367,0.37056,0.58376,0.30984,0.30949,0.58079,0.43174,0.42933,0.37354,0.74195,0.31227,0.31115,0.74332,0.43382,0.43514,0.66359,0.6134,0.57873,0.54912,0.55505,0.5843,0.67703,0.67893,0.6144,0.74288,0.55402,0.55384,0.74217,0.67831,0.67794,0.64787,0.67171,0.94293,1.1199,1.2807,1.5268,1.7458,1.9002,0.58816,0.57915,0.84765,0.9842,1.0813,1.3184,1.384,1.5728,0.58768,0.62213,0.83161,1.0386,0.99034,1.2971,1.1468,1.463,0.65365,0.77555,0.90357,1.2451,1.0707,1.4805,1.2428,1.6998,0.63432,0.68596,0.89366,1.0856,1.0266,1.2663,1.1384,1.2932,0.63547,0.67671,0.90659,1.0945,1.0969,1.3116,1.3217,1.3977,0,0,0.014446,0.0032103,0.0080257,0.0064205,0.0048154,0.0016051,0.0080257,0,0,0.030498,0,0.028892,0.0048154,0.014446,0.0032103,0.0016051,0.014446,0.0080257,0.035313,0,0,0.022472,0.0032103,0,0,0.0048154,0.0080257,0,0,0.0048154,0,0.0016051,0.0064205,0.0016051,0.0016051,0.0032103,0.0016051,0.014446,0.024077,0.0064205,0,0,0,0,0,0.0032103,0.0032103,0,0,0,0,0,0,0.011236,0.0032103,0.012841,0.012841,0,0.0032103,0,0,0,0,0,0,0,0,0,0,0.041734,0,0,0,0,0,0,0,0,bottle
0.49312,0.42814,0.3755,0.36112,0.32088,0.31063,0.36673,0.42687,0.43091,0.37598,0.46877,0.31314,0.31302,0.46757,0.42932,0.43196,0.40945,0.62274,0.35859,0.56268,0.56311,0.3597,0.67709,0.6776,0.61836,0.45895,0.56029,0.55592,0.45473,0.67559,0.67733,0.50706,0.58193,0.38844,0.53482,0.33059,0.30558,0.53169,0.44034,0.44496,0.36984,0.63789,0.28923,0.30084,0.63065,0.43498,0.43086,0.58693,0.62141,0.54204,0.56406,0.56528,0.54279,0.67644,0.67581,0.62045,0.6307,0.56454,0.56674,0.63156,0.67573,0.67516,0.49654,0.33738,0.39973,0.25749,0.3209,0.30558,0.25209,0.45636,0.45511,0.40266,0.41209,0.31974,0.32431,0.41085,0.45349,0.45582,0.33489,0.61948,0.24298,0.55672,0.54058,0.2356,0.68403,0.69243,0.59495,0.41027,0.53448,0.53507,0.41132,0.66886,0.66498,0.5032,0.66401,0.38501,0.58803,0.31392,0.31492,0.58409,0.45161,0.44832,0.37809,0.73666,0.31224,0.31268,0.73807,0.43972,0.4419,0.65763,0.61822,0.58003,0.55912,0.55956,0.5822,0.67442,0.67644,0.61746,0.73274,0.56026,0.55916,0.73228,0.67684,0.67609,0.59449,0.81238,0.84926,1.4035,1.0447,1.9032,1.329,2.2189,0.55007,0.67617,0.78129,1.1851,0.9187,1.5765,1.1134,1.8484,0.56174,0.74739,0.78796,1.332,0.88861,1.7294,1.0049,2.0961,0.62544,0.94946,0.8629,1.6549,0.98919,2.1867,1.1533,2.8816,0.5766,0.7806,0.81142,1.3378,0.91881,1.7665,1.0315,2.1968,0.56752,0.73404,0.81178,1.2655,0.93787,1.6667,1.0856,1.9061,0,0,0.01083,0.0036101,0.0072202,0.0054152,0,0.0072202,0.0054152,0,0.0018051,0.025271,0.0018051,0.027076,0,0.01444,0,0.0018051,0.0072202,0.0072202,0.032491,0,0,0.016245,0.0054152,0,0,0.0018051,0.0036101,0,0,0,0,0,0.0018051,0.0036101,0.0036101,0.0054152,0,0.016245,0.028881,0.0036101,0.0018051,0,0,0,0.0054152,0.018051,0,0,0,0,0,0,0,0.0090253,0,0.0054152,0.012635,0,0,0.0018051,0,0,0,0,0,0.0018051,0,0,0,0.028881,0,0,0,0.0018051,0,0,0,0,bottle
0.48514,0.42527,0.34999,0.37116,0.28829,0.29658,0.37602,0.41512,0.42023,0.38492,0.45791,0.31946,0.33527,0.46457,0.4323,0.43475,0.4174,0.61627,0.36497,0.54685,0.55127,0.36793,0.67792,0.67689,0.61046,0.46303,0.54909,0.54458,0.45982,0.67232,0.67262,0.51556,0.57413,0.37915,0.54889,0.29516,0.2829,0.52566,0.44457,0.45617,0.39479,0.61109,0.32276,0.33057,0.62702,0.4551,0.4627,0.59039,0.62667,0.54333,0.56995,0.5746,0.54521,0.68258,0.6815,0.63088,0.63775,0.5762,0.57606,0.63681,0.68372,0.683,0.48388,0.33278,0.37612,0.23465,0.30839,0.31226,0.25273,0.4241,0.42847,0.40584,0.42042,0.34447,0.33689,0.41187,0.44653,0.4482,0.3421,0.59352,0.22926,0.56609,0.53321,0.2524,0.63934,0.64219,0.58019,0.42428,0.51778,0.52257,0.42508,0.66132,0.66326,0.51597,0.66332,0.40099,0.58194,0.32373,0.33049,0.58471,0.46192,0.4622,0.39641,0.74015,0.32827,0.32723,0.73766,0.45803,0.45826,0.66314,0.62613,0.58457,0.56692,0.56861,0.58599,0.68603,0.68599,0.63195,0.74038,0.57595,0.57455,0.73854,0.68871,0.68818,0.52103,0.67973,0.73778,1.1222,0.91805,1.6256,1.1818,2.0241,0.49989,0.57764,0.69895,0.9996,0.78313,1.3802,0.90573,1.7631,0.49608,0.58878,0.7216,1.1641,0.86566,1.7449,1.093,2.5503,0.49295,0.54134,0.67534,0.97208,0.82507,1.5479,1.0634,2.3233,0.44683,0.43137,0.6195,0.78117,0.75997,1.2781,0.95458,1.7386,0.47348,0.51149,0.70293,0.99936,0.93447,1.6107,1.2602,2.091,0.0017301,0,0.013841,0.0017301,0.0017301,0.0034602,0.0051903,0,0,0,0.0069204,0.017301,0,0.0069204,0.0017301,0.017301,0,0.0017301,0,0.0034602,0.015571,0,0,0.020761,0.0017301,0.0017301,0,0,0.010381,0,0,0.0017301,0,0,0.0017301,0,0,0,0,0.0034602,0.0086505,0,0.0017301,0,0,0,0.0069204,0.0034602,0.0051903,0,0,0,0,0,0,0,0,0.0051903,0.017301,0,0.0034602,0,0,0,0,0,0,0,0,0,0,0.012111,0,0,0,0,0,0,0,0,bottle
0.4898,0.41841,0.39202,0.3783,0.33846,0.3394,0.38031,0.43988,0.44411,0.38658,0.45945,0.33451,0.33349,0.45549,0.43826,0.44192,0.4351,0.62635,0.39418,0.54857,0.55952,0.40024,0.6933,0.69478,0.62486,0.47178,0.56187,0.55966,0.46703,0.69664,0.6925,0.51149,0.58515,0.39547,0.54107,0.34687,0.33493,0.53409,0.45809,0.45539,0.36602,0.6363,0.31707,0.32056,0.6412,0.4257,0.43435,0.5846,0.63046,0.53471,0.56845,0.57427,0.54043,0.69774,0.70264,0.66231,0.64374,0.59799,0.59928,0.64445,0.71742,0.71861,0.4841,0.35765,0.38563,0.28613,0.3335,0.33608,0.2828,0.43704,0.43348,0.3799,0.42883,0.33248,0.33769,0.42845,0.4222,0.42846,0.33751,0.61607,0.27507,0.55127,0.54548,0.26381,0.67754,0.68966,0.58614,0.42079,0.52658,0.52784,0.41012,0.67014,0.67245,0.51885,0.67454,0.43077,0.59017,0.36791,0.3733,0.58989,0.48019,0.47866,0.42118,0.76171,0.37201,0.37169,0.76352,0.4713,0.46872,0.6896,0.61107,0.59491,0.55478,0.55941,0.60477,0.69025,0.69115,0.6419,0.77809,0.58062,0.57902,0.77771,0.70765,0.70937,0.46265,0.74186,0.61328,1.2041,0.7116,1.6698,0.9719,2.1832,0.43161,0.56896,0.56395,0.94466,0.61148,1.2733,0.74754,1.5463,0.44784,0.64883,0.59576,1.1171,0.65446,1.4745,0.8006,1.7381,0.49419,0.8641,0.66384,1.4972,0.74935,1.9803,0.89345,2.2404,0.43583,0.59652,0.57984,1.0396,0.64677,1.4062,0.80634,1.6252,0.42727,0.54423,0.5728,0.92342,0.67755,1.3152,0.98078,1.7851,0,0,0,0.0012077,0.0024155,0.0036232,0,0,0,0,0,0.0012077,0.0012077,0,0,0,0,0.0012077,0,0,0.0012077,0,0,0,0,0.0012077,0,0,0,0,0,0.0024155,0,0,0.0012077,0.0012077,0.0012077,0,0,0,0,0,0,0,0,0,0,0,0.0048309,0,0,0,0,0,0,0.0012077,0,0.0012077,0,0,0.0024155,0,0,0,0,0,0,0,0,0,0,0.0024155,0,0,0.0012077,0,0,0,0,0,bottle
0.49525,0.41839,0.37632,0.37742,0.31709,0.31708,0.37763,0.43573,0.43601,0.38185,0.45628,0.32005,0.32294,0.46002,0.43915,0.44186,0.42602,0.60395,0.38207,0.54946,0.54989,0.38236,0.66468,0.6694,0.61561,0.46603,0.55475,0.55691,0.46456,0.68299,0.68439,0.5051,0.58815,0.40534,0.54509,0.35074,0.34143,0.53708,0.45614,0.45209,0.37834,0.64459,0.32517,0.32029,0.64948,0.43688,0.44488,0.58303,0.62137,0.53038,0.56077,0.556,0.53709,0.68457,0.68932,0.64462,0.64962,0.57255,0.56267,0.6449,0.70695,0.71523,0.50006,0.34228,0.38798,0.25966,0.33498,0.33505,0.2615,0.43857,0.44178,0.39439,0.42129,0.33874,0.33899,0.42365,0.44753,0.44976,0.3543,0.63341,0.28254,0.57358,0.56627,0.2709,0.70411,0.69782,0.60284,0.42788,0.54957,0.54567,0.42782,0.69214,0.69884,0.49973,0.65022,0.39882,0.57503,0.34121,0.34169,0.57541,0.453,0.45398,0.40475,0.73094,0.34422,0.34735,0.74234,0.45369,0.45552,0.67101,0.60245,0.57775,0.54072,0.53746,0.57773,0.69993,0.69732,0.61876,0.75302,0.55401,0.55251,0.77575,0.68839,0.70238,0.37689,0.68573,0.51278,1.2028,0.57202,1.5427,0.7012,1.809,0.33976,0.50485,0.4612,0.91842,0.50193,1.2203,0.60806,1.5041,0.33675,0.47501,0.44667,0.83172,0.48932,1.1457,0.6148,1.4957,0.39936,0.78235,0.54354,1.4112,0.64476,1.962,0.85004,2.4549,0.37327,0.72193,0.52731,1.3512,0.61281,1.8807,0.7541,2.3017,0.35589,0.61739,0.49134,1.0862,0.53947,1.3973,0.64557,1.6524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021552,0,0,0.010776,0.0021552,0,0,0,0.0021552,0,0,0,0,0.0021552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021552,0,0,0,0,0,0,0.0021552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bottle
0.48739,0.41368,0.37292,0.37078,0.31356,0.31369,0.37145,0.43063,0.43035,0.39165,0.45539,0.3317,0.33936,0.46016,0.4399,0.4409,0.42723,0.59334,0.37878,0.53576,0.53756,0.38312,0.67016,0.66658,0.60251,0.46779,0.54304,0.54469,0.4656,0.67097,0.66935,0.51394,0.58676,0.39924,0.541,0.34518,0.33463,0.529,0.45597,0.45522,0.36273,0.6523,0.30793,0.29751,0.64181,0.43248,0.45461,0.59093,0.62504,0.5345,0.56391,0.57158,0.54304,0.68395,0.68722,0.65555,0.64851,0.60554,0.60539,0.64828,0.70327,0.70336,0.48557,0.35054,0.36808,0.26195,0.31958,0.3199,0.2732,0.41602,0.42508,0.38421,0.42557,0.32865,0.32838,0.42629,0.43793,0.43903,0.33776,0.62967,0.26902,0.55677,0.55128,0.24022,0.71257,0.70189,0.58177,0.41885,0.5261,0.52409,0.42214,0.65932,0.68729,0.51469,0.64111,0.40912,0.5646,0.34047,0.34325,0.56872,0.4672,0.46768,0.41647,0.73498,0.35704,0.35046,0.72955,0.46725,0.46621,0.68199,0.61573,0.58999,0.5499,0.55683,0.61674,0.69421,0.69631,0.64466,0.75684,0.57707,0.57837,0.75791,0.70896,0.7091,0.3928,0.71848,0.52728,1.2168,0.58841,1.5394,0.73174,1.7739,0.36529,0.5883,0.48921,0.9844,0.52451,1.2278,0.63704,1.4817,0.38235,0.65594,0.51826,1.1403,0.56466,1.4221,0.69669,1.7056,0.4423,0.94705,0.61047,1.706,0.70428,2.192,0.89838,2.6434,0.38044,0.66012,0.52844,1.2143,0.58895,1.5942,0.71438,1.8787,0.36388,0.5974,0.50087,1.0811,0.54908,1.3949,0.6591,1.5995,0,0,0,0.0019011,0,0,0,0,0,0,0.0038023,0.0019011,0,0,0,0,0,0,0.0019011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019011,0,0,0,0,0,0.0019011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bottle
