@relation GIGO

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute f65 numeric
@attribute f66 numeric
@attribute f67 numeric
@attribute f68 numeric
@attribute f69 numeric
@attribute f70 numeric
@attribute f71 numeric
@attribute f72 numeric
@attribute f73 numeric
@attribute f74 numeric
@attribute f75 numeric
@attribute f76 numeric
@attribute f77 numeric
@attribute f78 numeric
@attribute f79 numeric
@attribute f80 numeric
@attribute f81 numeric
@attribute f82 numeric
@attribute f83 numeric
@attribute f84 numeric
@attribute f85 numeric
@attribute f86 numeric
@attribute f87 numeric
@attribute f88 numeric
@attribute f89 numeric
@attribute f90 numeric
@attribute f91 numeric
@attribute f92 numeric
@attribute f93 numeric
@attribute f94 numeric
@attribute f95 numeric
@attribute f96 numeric
@attribute f97 numeric
@attribute f98 numeric
@attribute f99 numeric
@attribute f100 numeric
@attribute f101 numeric
@attribute f102 numeric
@attribute f103 numeric
@attribute f104 numeric
@attribute f105 numeric
@attribute f106 numeric
@attribute f107 numeric
@attribute f108 numeric
@attribute f109 numeric
@attribute f110 numeric
@attribute f111 numeric
@attribute f112 numeric
@attribute f113 numeric
@attribute f114 numeric
@attribute f115 numeric
@attribute f116 numeric
@attribute f117 numeric
@attribute f118 numeric
@attribute f119 numeric
@attribute f120 numeric
@attribute f121 numeric
@attribute f122 numeric
@attribute f123 numeric
@attribute f124 numeric
@attribute f125 numeric
@attribute f126 numeric
@attribute f127 numeric
@attribute f128 numeric
@attribute f129 numeric
@attribute f130 numeric
@attribute f131 numeric
@attribute f132 numeric
@attribute f133 numeric
@attribute f134 numeric
@attribute f135 numeric
@attribute f136 numeric
@attribute f137 numeric
@attribute f138 numeric
@attribute f139 numeric
@attribute f140 numeric
@attribute f141 numeric
@attribute f142 numeric
@attribute f143 numeric
@attribute f144 numeric
@attribute f145 numeric
@attribute f146 numeric
@attribute f147 numeric
@attribute f148 numeric
@attribute f149 numeric
@attribute f150 numeric
@attribute f151 numeric
@attribute f152 numeric
@attribute f153 numeric
@attribute f154 numeric
@attribute f155 numeric
@attribute f156 numeric
@attribute f157 numeric
@attribute f158 numeric
@attribute f159 numeric
@attribute f160 numeric
@attribute f161 numeric
@attribute f162 numeric
@attribute f163 numeric
@attribute f164 numeric
@attribute f165 numeric
@attribute f166 numeric
@attribute f167 numeric
@attribute f168 numeric
@attribute f169 numeric
@attribute f170 numeric
@attribute f171 numeric
@attribute f172 numeric
@attribute tag {Iron}

@data
0.50364,0.33262,0.39428,0.23504,0.32151,0.31758,0.24285,0.4537,0.45317,0.36177,0.42294,0.30392,0.30257,0.41299,0.45212,0.41389,0.33823,0.61202,0.24268,0.55466,0.55286,0.23941,0.67523,0.67216,0.62275,0.42065,0.55301,0.56746,0.42557,0.68203,0.67962,0.49688,0.63232,0.3702,0.56694,0.30864,0.30908,0.57329,0.42277,0.43486,0.37675,0.695,0.31155,0.311,0.69276,0.43836,0.4389,0.63086,0.61807,0.57235,0.5623,0.55744,0.56585,0.67575,0.67683,0.61305,0.69278,0.55532,0.55558,0.6931,0.67273,0.6723,0.50285,0.40613,0.39281,0.35597,0.31573,0.31126,0.35657,0.45107,0.45196,0.35998,0.45836,0.29981,0.30075,0.45496,0.43887,0.4155,0.40621,0.59792,0.35866,0.55071,0.55078,0.35756,0.6458,0.6453,0.60269,0.45007,0.55433,0.56252,0.45426,0.64653,0.64642,0.49719,0.58678,0.37121,0.54,0.30472,0.30064,0.54181,0.42977,0.43836,0.38223,0.63167,0.30852,0.3048,0.63352,0.44595,0.44337,0.58765,0.5995,0.54528,0.55509,0.55254,0.544,0.64537,0.64519,0.5944,0.63193,0.54593,0.54664,0.63078,0.64296,0.64307,0.43765,0.8365,0.59718,1.3418,0.80003,2.0756,1.2182,2.7057,0.39595,0.60847,0.5363,1.0653,0.66453,1.6251,0.94539,2.2801,0.37044,0.45332,0.47512,0.72282,0.53234,1.0538,0.70388,1.5453,0.39697,0.50878,0.48936,0.77803,0.53574,1.1135,0.68706,1.5349,0.40012,0.58603,0.52041,0.92968,0.56387,1.2164,0.694,1.5674,0.4171,0.70029,0.56631,1.2014,0.67843,1.7591,0.929,2.1997,Iron
0.47538,0.34306,0.35505,0.22844,0.29006,0.29021,0.23197,0.41565,0.41937,0.38298,0.42499,0.30684,0.30535,0.42464,0.4416,0.43554,0.376,0.5806,0.25211,0.5268,0.52231,0.25208,0.64393,0.64606,0.55948,0.44073,0.50629,0.51017,0.45122,0.61901,0.62913,0.52047,0.60851,0.41118,0.55267,0.3342,0.31971,0.53987,0.46943,0.46665,0.38108,0.67636,0.31485,0.31176,0.67285,0.44823,0.43666,0.62434,0.63823,0.5625,0.58663,0.58883,0.56298,0.67955,0.68187,0.62449,0.67601,0.57223,0.5825,0.68518,0.6739,0.67238,0.47983,0.41834,0.35577,0.35682,0.2804,0.28089,0.3567,0.42089,0.42172,0.39057,0.46141,0.29946,0.30904,0.46837,0.43277,0.43902,0.4146,0.58635,0.3562,0.53364,0.53239,0.3631,0.63519,0.6334,0.5611,0.46219,0.51937,0.51827,0.45134,0.62652,0.62221,0.51938,0.56701,0.41749,0.53162,0.32389,0.32056,0.52399,0.46825,0.46853,0.42393,0.6119,0.32694,0.32676,0.60782,0.47902,0.48917,0.59236,0.60343,0.5501,0.56454,0.56511,0.55246,0.63177,0.64077,0.59974,0.63199,0.56004,0.55907,0.62902,0.64327,0.6421,0.4282,0.85413,0.61927,1.5765,0.76468,2.3896,0.95899,3.0399,0.39408,0.67183,0.5532,1.2174,0.63426,1.8173,0.7339,2.2,0.40046,0.67916,0.55827,1.2225,0.644,1.8614,0.72454,2.2086,0.45866,0.95875,0.66015,1.77,0.83125,2.7527,1.0232,3.4243,0.4271,0.80314,0.62137,1.455,0.78838,2.3049,1.0166,3.1855,0.41504,0.78456,0.6019,1.3643,0.75108,2.1759,0.96959,3.1015,Iron
0.51077,0.34277,0.39202,0.27013,0.33205,0.33157,0.26943,0.45177,0.45159,0.38404,0.42085,0.32753,0.32747,0.41431,0.44696,0.44031,0.33754,0.63244,0.26502,0.5723,0.57077,0.26684,0.69672,0.69946,0.64603,0.40629,0.57711,0.58512,0.41819,0.70775,0.70863,0.48807,0.67816,0.3763,0.58828,0.32346,0.32339,0.5886,0.43417,0.43351,0.3689,0.77113,0.31918,0.31868,0.77248,0.42186,0.42532,0.66819,0.62418,0.57945,0.53747,0.53726,0.57752,0.69701,0.70052,0.6377,0.77666,0.56479,0.55984,0.76531,0.71085,0.7057,0.51277,0.41249,0.39242,0.37064,0.333,0.33256,0.37013,0.45224,0.45228,0.38585,0.45641,0.32933,0.32899,0.45434,0.44683,0.44552,0.40859,0.64188,0.36828,0.57689,0.57642,0.36735,0.70757,0.7072,0.63649,0.45693,0.57582,0.57376,0.4499,0.70618,0.70801,0.48523,0.59928,0.36618,0.54967,0.31862,0.31776,0.54958,0.41557,0.41886,0.37866,0.64857,0.32462,0.32644,0.65054,0.43175,0.43219,0.60562,0.62246,0.5446,0.5554,0.54748,0.55302,0.70896,0.70305,0.61712,0.65468,0.54636,0.54728,0.65733,0.69811,0.69129,0.28027,0.52556,0.45413,0.82599,0.69239,1.3985,0.9715,2.0965,0.25716,0.37738,0.42207,0.59837,0.59563,0.98381,0.73606,1.3898,0.277,0.48476,0.45386,0.78381,0.64069,1.2442,0.76093,1.6436,0.33102,0.77804,0.53323,1.247,0.79695,1.9285,1.0261,2.5661,0.28995,0.54624,0.49178,0.93531,0.73839,1.5568,0.97943,2.4184,0.26716,0.43155,0.45666,0.76693,0.69324,1.358,0.9616,2.2319,Iron
0.51113,0.34217,0.39273,0.26567,0.33272,0.33228,0.2651,0.4527,0.45208,0.38744,0.42111,0.33044,0.32978,0.41682,0.44929,0.44161,0.33046,0.63188,0.25809,0.57183,0.57207,0.26054,0.6964,0.69679,0.64381,0.4005,0.57582,0.57763,0.41226,0.70644,0.71306,0.48754,0.678,0.37679,0.59008,0.32547,0.32477,0.58918,0.42851,0.42884,0.37711,0.76722,0.32467,0.32431,0.76586,0.43186,0.43172,0.68231,0.63867,0.59843,0.56163,0.55806,0.58292,0.71041,0.71236,0.6212,0.77687,0.54252,0.54964,0.77176,0.70276,0.69586,0.51334,0.41375,0.3904,0.37144,0.32896,0.32865,0.37151,0.45153,0.45185,0.38646,0.45708,0.32691,0.32634,0.45442,0.44949,0.4453,0.41103,0.64048,0.37064,0.57781,0.57698,0.36972,0.70396,0.70352,0.64105,0.45125,0.57726,0.57872,0.45481,0.70326,0.70337,0.48447,0.59844,0.36134,0.54974,0.31307,0.31286,0.54836,0.41215,0.41264,0.37189,0.64717,0.31991,0.32032,0.65229,0.42306,0.42836,0.60359,0.63725,0.54975,0.5663,0.56334,0.54601,0.70497,0.71228,0.61712,0.65771,0.54397,0.54682,0.65631,0.69884,0.68994,0.39798,1.142,0.70768,2.0546,1.1205,3.387,1.5977,4.3191,0.28013,0.53186,0.46847,0.86008,0.6749,1.2979,0.8841,1.6076,0.27064,0.52982,0.44883,0.90131,0.61671,1.3098,0.72768,1.6018,0.31947,0.85168,0.52365,1.4561,0.74993,2.0914,0.9252,2.5765,0.29014,0.63375,0.4964,1.14,0.70531,1.656,0.84912,1.9934,0.35384,0.92961,0.64542,1.7411,0.99029,2.9058,1.3077,3.644,Iron
0.50859,0.33651,0.38512,0.26272,0.3246,0.32436,0.26021,0.4472,0.44497,0.36841,0.41794,0.31617,0.31689,0.41901,0.42503,0.4299,0.33537,0.63332,0.25725,0.57176,0.57235,0.26218,0.69369,0.69503,0.64084,0.42648,0.57051,0.56605,0.41667,0.70092,0.70209,0.4904,0.68075,0.3606,0.59011,0.31242,0.31192,0.5867,0.41514,0.41265,0.36428,0.76873,0.31338,0.31417,0.77991,0.41168,0.42621,0.67759,0.64352,0.57435,0.55276,0.55181,0.58644,0.70321,0.70346,0.63464,0.78359,0.55945,0.55922,0.76463,0.70907,0.69955,0.51076,0.40359,0.38907,0.36325,0.32807,0.32796,0.36331,0.44967,0.45019,0.37475,0.45133,0.32093,0.31852,0.44032,0.44177,0.44529,0.40012,0.63814,0.36146,0.57463,0.5739,0.36109,0.70251,0.70324,0.64461,0.44233,0.57538,0.57316,0.44508,0.70982,0.71905,0.48852,0.59902,0.36858,0.55027,0.3157,0.31609,0.54379,0.43741,0.43574,0.3742,0.64527,0.32017,0.32119,0.64833,0.42959,0.43145,0.60788,0.63364,0.54373,0.54491,0.54791,0.55203,0.71542,0.71105,0.61873,0.65247,0.55309,0.55196,0.65545,0.69266,0.68775,0.29638,0.70867,0.5643,1.3989,0.91958,2.2122,1.279,2.8162,0.27682,0.57105,0.51252,1.0876,0.77792,1.5922,0.99073,1.8848,0.37509,1.0082,0.68191,1.785,1.0021,2.303,1.2544,2.5568,0.53237,1.7567,0.94984,3.003,1.3942,3.7264,1.7729,4.1504,0.38762,1.0554,0.70813,1.8722,1.049,2.3949,1.3006,2.6994,0.28631,0.61782,0.54872,1.2307,0.86615,1.8682,1.1415,2.3053,Iron
0.50687,0.33726,0.38383,0.26046,0.32205,0.32164,0.25976,0.44582,0.44539,0.37928,0.41791,0.31964,0.31881,0.41049,0.44225,0.44378,0.33106,0.62949,0.25585,0.56955,0.56879,0.2573,0.68888,0.69168,0.63247,0.40194,0.568,0.56666,0.41365,0.69435,0.69537,0.49205,0.68679,0.35761,0.59365,0.30881,0.3087,0.60689,0.4089,0.4174,0.37199,0.76862,0.3152,0.3159,0.77016,0.43018,0.43072,0.6871,0.65099,0.59348,0.58138,0.56651,0.5915,0.70442,0.7079,0.62319,0.77932,0.55097,0.55713,0.7673,0.69362,0.68762,0.50907,0.40803,0.3858,0.36404,0.32447,0.32415,0.36352,0.44696,0.44686,0.37589,0.45422,0.3192,0.31879,0.45371,0.4336,0.4333,0.40146,0.63583,0.36072,0.5727,0.57216,0.36036,0.699,0.69951,0.65265,0.4437,0.58766,0.59705,0.44933,0.70875,0.70962,0.49032,0.59501,0.36807,0.54829,0.31461,0.31399,0.54508,0.42479,0.41927,0.37287,0.64159,0.3164,0.31942,0.64355,0.43006,0.43098,0.60582,0.65327,0.55286,0.57969,0.56364,0.5507,0.71054,0.71511,0.62121,0.65132,0.55269,0.55717,0.6497,0.69336,0.68714,0.21793,0.51771,0.38657,0.94309,0.63878,1.5941,0.96415,2.2742,0.19622,0.36051,0.35074,0.67948,0.55617,1.126,0.7865,1.591,0.19156,0.3226,0.32833,0.51768,0.49532,0.79404,0.66189,1.2116,0.22051,0.54802,0.36834,0.87005,0.56109,1.2557,0.7675,1.8695,0.20268,0.41455,0.3571,0.72059,0.54502,1.1147,0.7394,1.7069,0.19779,0.36549,0.35536,0.67297,0.56281,1.1245,0.80249,1.7575,Iron
0.50234,0.33641,0.37663,0.25604,0.31892,0.3197,0.25276,0.43737,0.43335,0.3759,0.417,0.31882,0.31866,0.4186,0.43366,0.43747,0.32288,0.64007,0.23914,0.57242,0.57257,0.24637,0.70014,0.70039,0.64418,0.41189,0.57325,0.57151,0.41097,0.70233,0.70197,0.49759,0.66891,0.38608,0.58452,0.32381,0.32432,0.58731,0.44908,0.45133,0.37739,0.75662,0.31889,0.31887,0.75085,0.44403,0.43719,0.65002,0.61547,0.57868,0.54742,0.54673,0.57439,0.68492,0.68711,0.62874,0.73434,0.54885,0.55468,0.73754,0.69921,0.69746,0.50578,0.40663,0.38067,0.36401,0.3187,0.31882,0.36365,0.44228,0.44231,0.37949,0.4503,0.31796,0.3138,0.45073,0.44121,0.44506,0.41248,0.63287,0.36715,0.56943,0.56971,0.36613,0.69548,0.69565,0.62504,0.46313,0.56711,0.56766,0.45875,0.69194,0.68267,0.49351,0.60576,0.35972,0.554,0.30167,0.30123,0.55106,0.42773,0.4257,0.36796,0.6505,0.31028,0.31043,0.6502,0.43069,0.43062,0.59268,0.6069,0.53883,0.55473,0.55335,0.53804,0.66856,0.67469,0.61338,0.64181,0.5536,0.55384,0.64758,0.68021,0.67786,0.24916,0.33177,0.37019,0.43298,0.4971,0.62798,0.64203,1.1138,0.23387,0.23365,0.36487,0.32205,0.46385,0.44678,0.52125,0.74453,0.24247,0.26997,0.38217,0.40284,0.49094,0.55246,0.5478,0.82901,0.26971,0.38615,0.40718,0.56021,0.54671,0.758,0.66269,1.1248,0.24166,0.26238,0.37994,0.39008,0.49367,0.54584,0.56127,0.83324,0.23404,0.23156,0.36724,0.32118,0.48389,0.47974,0.58749,0.86949,Iron
0.50833,0.33608,0.38495,0.25851,0.32161,0.32138,0.2616,0.44694,0.44596,0.3742,0.41848,0.3158,0.31651,0.41473,0.43624,0.43575,0.33072,0.63685,0.25534,0.57376,0.57376,0.2542,0.69788,0.6991,0.63689,0.41294,0.57681,0.57519,0.41274,0.69698,0.6973,0.49097,0.67759,0.36765,0.58836,0.31224,0.31211,0.58956,0.42489,0.42433,0.37041,0.76359,0.31364,0.31374,0.76265,0.42968,0.42916,0.67457,0.63653,0.57462,0.56329,0.56338,0.58812,0.69607,0.69641,0.62254,0.7732,0.53966,0.55692,0.76187,0.69371,0.68735,0.50947,0.4066,0.38572,0.36248,0.32305,0.32292,0.36223,0.44768,0.44758,0.37767,0.45331,0.32193,0.32154,0.4487,0.44142,0.44201,0.40438,0.63703,0.36107,0.57321,0.57281,0.36085,0.6997,0.69947,0.63943,0.44816,0.5752,0.57704,0.45072,0.70047,0.7007,0.48981,0.59958,0.36906,0.55049,0.31456,0.31483,0.55197,0.42862,0.42711,0.36839,0.64739,0.31323,0.31401,0.64598,0.42741,0.42732,0.60036,0.62982,0.54927,0.54988,0.54906,0.54466,0.69903,0.71329,0.62086,0.6462,0.55683,0.55594,0.64647,0.69215,0.68802,0.22252,0.37763,0.36552,0.57941,0.57246,1.1062,0.78406,1.566,0.20079,0.23988,0.3364,0.35546,0.49121,0.59345,0.61612,0.87564,0.20281,0.23608,0.33437,0.34279,0.46543,0.48029,0.54087,0.60582,0.23105,0.37102,0.37543,0.56166,0.54972,0.78672,0.68704,1.0188,0.2152,0.29632,0.37314,0.51991,0.54338,0.75995,0.67177,0.9821,0.20704,0.27361,0.35566,0.45484,0.52837,0.79739,0.67471,1.0612,Iron
0.47076,0.33241,0.38142,0.22636,0.30698,0.31086,0.27101,0.42697,0.43109,0.38396,0.41586,0.3078,0.30021,0.40059,0.43659,0.43609,0.32951,0.56708,0.26445,0.51807,0.51052,0.2201,0.6478,0.63766,0.55471,0.40261,0.50267,0.50506,0.41845,0.63172,0.63088,0.52423,0.64639,0.39507,0.57642,0.30545,0.30944,0.58251,0.4718,0.45301,0.41075,0.69663,0.34647,0.33454,0.69975,0.45389,0.47278,0.63645,0.61745,0.56098,0.57507,0.58034,0.5841,0.65264,0.6622,0.63889,0.70005,0.5956,0.58677,0.69364,0.67966,0.68123,0.47973,0.42842,0.3568,0.36903,0.28265,0.29259,0.3688,0.4208,0.4085,0.37695,0.46518,0.33154,0.33328,0.46799,0.4208,0.42097,0.41854,0.59427,0.3534,0.53753,0.53969,0.36604,0.64101,0.64459,0.60648,0.46175,0.55735,0.54221,0.4595,0.64075,0.64909,0.52145,0.56565,0.39241,0.52657,0.33571,0.31814,0.53025,0.4548,0.47468,0.38204,0.61538,0.29856,0.28947,0.60917,0.4686,0.45546,0.59155,0.60558,0.55356,0.55715,0.55994,0.55025,0.65984,0.64989,0.61606,0.62196,0.57197,0.58438,0.62954,0.65192,0.65259,0.3517,0.64647,0.46939,0.90623,0.50413,1.1861,0.56991,1.5082,0.33341,0.4322,0.44083,0.62288,0.44722,0.77386,0.4647,0.97686,0.3433,0.40809,0.44121,0.56288,0.42864,0.61316,0.42024,0.71779,0.37647,0.47597,0.47587,0.64343,0.46684,0.69844,0.47072,0.8163,0.34809,0.41809,0.45474,0.59131,0.4508,0.65221,0.44884,0.70828,0.33555,0.43808,0.4497,0.6528,0.46689,0.84305,0.49622,0.98556,Iron
0.48038,0.36026,0.38885,0.26277,0.30513,0.30372,0.29978,0.43994,0.4399,0.41205,0.42992,0.33564,0.34516,0.43187,0.45294,0.45026,0.3644,0.56364,0.29895,0.5188,0.51985,0.27184,0.63308,0.62188,0.55037,0.43772,0.51475,0.51364,0.43146,0.603,0.59957,0.51897,0.60875,0.44155,0.55623,0.39181,0.40219,0.5535,0.47711,0.47733,0.44903,0.66096,0.41227,0.41458,0.67163,0.47968,0.48325,0.66216,0.58182,0.58195,0.54795,0.54856,0.59999,0.62728,0.63242,0.61701,0.7189,0.56977,0.57559,0.7424,0.65452,0.66883,0.47978,0.43422,0.37031,0.36688,0.30996,0.3147,0.38024,0.42269,0.42611,0.39543,0.46866,0.35104,0.35082,0.47026,0.4392,0.43952,0.45172,0.56929,0.41505,0.52047,0.52993,0.42809,0.61192,0.61414,0.57161,0.4747,0.52502,0.52507,0.47456,0.61833,0.62543,0.52154,0.5521,0.41731,0.52496,0.35517,0.35905,0.52461,0.46949,0.46888,0.39115,0.59971,0.32616,0.32044,0.58999,0.45419,0.4527,0.56898,0.60715,0.53144,0.56368,0.56462,0.53663,0.64453,0.65796,0.6486,0.60258,0.60001,0.60342,0.61404,0.68684,0.70029,0.73764,1.782,1.2196,3.4219,1.6726,5.1753,2.1219,6.8295,0.61629,1.2463,1.0264,2.4647,1.2622,3.4226,1.4265,4.099,0.60008,1.2424,0.97063,2.4211,1.0737,3.0667,1.0956,3.1982,0.67772,1.624,1.0664,3.112,1.2998,4.2289,1.4291,4.5708,0.6216,1.293,1.0097,2.5291,1.1326,3.2744,1.1748,3.4368,0.61709,1.2302,1.0189,2.4341,1.2409,3.3205,1.4052,3.9102,Iron
